Area_name,Delim,POP010210D
UNITED STATES,#,308745538
ALABAMA,#,4779736
"Autauga, AL",#,54571
"Baldwin, AL",#,182265
"Barbour, AL",#,27457
"Bibb, AL",#,22915
"Blount, AL",#,57322
"Bullock, AL",#,10914
"Butler, AL",#,20947
"Calhoun, AL",#,118572
"Chambers, AL",#,34215
"Cherokee, AL",#,25989
"Chilton, AL",#,43643
"Choctaw, AL",#,13859
"Clarke, AL",#,25833
"Clay, AL",#,13932
"Cleburne, AL",#,14972
"Coffee, AL",#,49948
"Colbert, AL",#,54428
"Conecuh, AL",#,13228
"Coosa, AL",#,11539
"Covington, AL",#,37765
"Crenshaw, AL",#,13906
"Cullman, AL",#,80406
"Dale, AL",#,50251
"Dallas, AL",#,43820
"DeKalb, AL",#,71109
"Elmore, AL",#,79303
"Escambia, AL",#,38319
"Etowah, AL",#,104430
"Fayette, AL",#,17241
"Franklin, AL",#,31704
"Geneva, AL",#,26790
"Greene, AL",#,9045
"Hale, AL",#,15760
"Henry, AL",#,17302
"Houston, AL",#,101547
"Jackson, AL",#,53227
"Jefferson, AL",#,658466
"Lamar, AL",#,14564
"Lauderdale, AL",#,92709
"Lawrence, AL",#,34339
"Lee, AL",#,140247
"Limestone, AL",#,82782
"Lowndes, AL",#,11299
"Macon, AL",#,21452
"Madison, AL",#,334811
"Marengo, AL",#,21027
"Marion, AL",#,30776
"Marshall, AL",#,93019
"Mobile, AL",#,412992
"Monroe, AL",#,23068
"Montgomery, AL",#,229363
"Morgan, AL",#,119490
"Perry, AL",#,10591
"Pickens, AL",#,19746
"Pike, AL",#,32899
"Randolph, AL",#,22913
"Russell, AL",#,52947
"St. Clair, AL",#,83593
"Shelby, AL",#,195085
"Sumter, AL",#,13763
"Talladega, AL",#,82291
"Tallapoosa, AL",#,41616
"Tuscaloosa, AL",#,194656
"Walker, AL",#,67023
"Washington, AL",#,17581
"Wilcox, AL",#,11670
"Winston, AL",#,24484
ALASKA,#,710231
"Aleutians East, AK",#,3141
"Aleutians West, AK",#,5561
"Anchorage, AK",#,291826
"Bethel, AK",#,17013
"Bristol Bay, AK",#,997
"Denali, AK",#,1826
"Dillingham, AK",#,4847
"Fairbanks North Star, AK",#,97581
"Haines, AK",#,2508
"Hoonah-Angoon, AK",#,2150
"Juneau, AK",#,31275
"Kenai Peninsula, AK",#,55400
"Ketchikan Gateway, AK",#,13477
"Kodiak Island, AK",#,13592
"Lake and Peninsula, AK",#,1631
"Matanuska-Susitna, AK",#,88995
"Nome, AK",#,9492
"North Slope, AK",#,9430
"Northwest Arctic, AK",#,7523
"Petersburg, AK",#,3815
"Prince of Wales-Hyder, AK",#,5559
"Sitka, AK",#,8881
"Skagway, AK",#,968
"Southeast Fairbanks, AK",#,7029
"Valdez-Cordova, AK",#,9636
"Wade Hampton, AK",#,7459
"Wrangell, AK",#,2369
"Yakutat, AK",#,662
"Yukon-Koyukuk, AK",#,5588
ARIZONA,#,6392017
"Apache, AZ",#,71518
"Cochise, AZ",#,131346
"Coconino, AZ",#,134421
"Gila, AZ",#,53597
"Graham, AZ",#,37220
"Greenlee, AZ",#,8437
"La Paz, AZ",#,20489
"Maricopa, AZ",#,3817117
"Mohave, AZ",#,200186
"Navajo, AZ",#,107449
"Pima, AZ",#,980263
"Pinal, AZ",#,375770
"Santa Cruz, AZ",#,47420
"Yavapai, AZ",#,211033
"Yuma, AZ",#,195751
ARKANSAS,#,2915918
"Arkansas, AR",#,19019
"Ashley, AR",#,21853
"Baxter, AR",#,41513
"Benton, AR",#,221339
"Boone, AR",#,36903
"Bradley, AR",#,11508
"Calhoun, AR",#,5368
"Carroll, AR",#,27446
"Chicot, AR",#,11800
"Clark, AR",#,22995
"Clay, AR",#,16083
"Cleburne, AR",#,25970
"Cleveland, AR",#,8689
"Columbia, AR",#,24552
"Conway, AR",#,21273
"Craighead, AR",#,96443
"Crawford, AR",#,61948
"Crittenden, AR",#,50902
"Cross, AR",#,17870
"Dallas, AR",#,8116
"Desha, AR",#,13008
"Drew, AR",#,18509
"Faulkner, AR",#,113237
"Franklin, AR",#,18125
"Fulton, AR",#,12245
"Garland, AR",#,96024
"Grant, AR",#,17853
"Greene, AR",#,42090
"Hempstead, AR",#,22609
"Hot Spring, AR",#,32923
"Howard, AR",#,13789
"Independence, AR",#,36647
"Izard, AR",#,13696
"Jackson, AR",#,17997
